,country,continent,year,lifeExp,pop,gdpPercap
,,,,,,
1,United States,Americas,1952,68.44,157553000,13990.48
2,United States,Americas,1957,69.49,171984000,14847.13
3,United States,Americas,1962,70.21,186538000,16173.15
4,United States,Americas,1967,70.76,198712000,19530.37
5,United States,Americas,1972,71.34,209896000,21806.04
6,United States,Americas,1977,73.38,220239000,24072.63
7,United States,Americas,1982,74.65,232187835,25009.56
8,United States,Americas,1987,75.02,242803533,29884.35
9,United States,Americas,1992,76.09,256894189,32003.93
10,United States,Americas,1997,76.81,272911760,35767.43
11,United States,Americas,2002,77.31,287675526,39097.1
12,United States,Americas,2007,78.242,301139947,42951.65
